sample_data_only,export_source,export_format,geo,time_granularity,week_start,keyword,trend_interest_score,rising_status,related_queries,target_market_hint,source_type,source_url,notes
true,Google Trends style sample,CSV,Japan,weekly,2026-01-19,Japan Chinese New Year travel,88,rising,"Japan family trip; Tokyo airport transfer; Osaka airport pickup",China,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-01-26,Tokyo airport transfer Chinese New Year,82,rising,"Haneda pickup; Narita family transfer; Japan luggage taxi",China,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-03-16,Japan cherry blossom travel,95,breakout,"Tokyo sakura trip; Kyoto cherry blossom; Ueno park travel",US,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-03-23,Tokyo luggage transfer cherry blossom,76,rising,"Tokyo hotel luggage delivery; station luggage transfer; sakura family trip",Taiwan,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-04-27,Japan Golden Week travel,91,rising,"Golden Week itinerary; Osaka airport pickup; Japan family travel",Korea,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-05-04,Osaka airport pickup,73,rising,"Kansai airport transfer; Osaka hotel transfer; family airport taxi",Southeast Asia,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-07-13,Japan summer family trip,84,rising,"Okinawa family trip; Japan with kids; summer private transfer",US,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-08-03,Mount Fuji summer charter,69,rising,"Fuji private tour; Fuji family transfer; Tokyo to Mount Fuji car",Europe,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-10-26,Kyoto autumn leaves,93,breakout,"Kyoto fall foliage; Arashiyama transfer; Kyoto private tour",Taiwan,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-11-09,Japan autumn leaves private tour,79,rising,"Kyoto temple transfer; Fuji autumn charter; elderly Japan travel",Europe,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-12-14,Japan Christmas travel,71,rising,"Tokyo Christmas lights; Shibuya hotel transfer; night airport pickup",Southeast Asia,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-12-28,Japan New Year travel,86,rising,"New Year shrine visit; holiday transport Japan; Tokyo New Year airport transfer",Hong Kong,sample_export,local_sample_only,"Synthetic sample shaped like a Google Trends export; not real downloaded data."
true,Google Trends style sample,CSV,Japan,weekly,2026-09-07,Tokyo cafe ranking,18,stable,"Tokyo cafe; latte art; Shibuya coffee",local,sample_export,local_sample_only,"Noise/control sample. Should not be treated as confirmed mobility demand."
true,Google Trends style sample,CSV,Japan,weekly,2026-06-01,Japan weather today,24,stable,"Tokyo weather; Osaka rain; Japan forecast",local,sample_export,local_sample_only,"Noise/control sample. Should require low-confidence classification."
